Code,Customer,Device,Active,RedeemedAt
SAFARI-2AK3,,,TRUE,
SAFARI-2DN4,,,TRUE,
SAFARI-2E2Z,,,TRUE,
SAFARI-2HMJ,,,TRUE,
SAFARI-2P9N,,,TRUE,
SAFARI-2U7F,,,TRUE,
SAFARI-2WUP,,,TRUE,
SAFARI-2WVH,,,TRUE,
SAFARI-2XR4,,,TRUE,
SAFARI-3243,,,TRUE,
SAFARI-34RV,,,TRUE,
SAFARI-35AZ,,,TRUE,
SAFARI-3ADP,,,TRUE,
SAFARI-3AT8,,,TRUE,
SAFARI-3CS2,,,TRUE,
SAFARI-3CSG,,,TRUE,
SAFARI-3E3C,,,TRUE,
SAFARI-3H2S,,,TRUE,
SAFARI-3KLU,,,TRUE,
SAFARI-3Q2T,,,TRUE,
SAFARI-3RBU,,,TRUE,
SAFARI-3RV5,,,TRUE,
SAFARI-3T9P,,,TRUE,
SAFARI-3U5N,,,TRUE,
SAFARI-42YT,,,TRUE,
SAFARI-44LW,,,TRUE,
SAFARI-44YU,,,TRUE,
SAFARI-45FU,,,TRUE,
SAFARI-49SZ,,,TRUE,
SAFARI-4FTT,,,TRUE,
SAFARI-4J4M,,,TRUE,
SAFARI-4KCM,,,TRUE,
SAFARI-4KVH,,,TRUE,
SAFARI-4R66,,,TRUE,
SAFARI-4SEB,,,TRUE,
SAFARI-4SEQ,,,TRUE,
SAFARI-536B,,,TRUE,
SAFARI-54BD,,,TRUE,
SAFARI-565M,,,TRUE,
SAFARI-5AW2,,,TRUE,
SAFARI-5BQA,,,TRUE,
SAFARI-5BTJ,,,TRUE,
SAFARI-5BXA,,,TRUE,
SAFARI-5C4C,,,TRUE,
SAFARI-5CYA,,,TRUE,
SAFARI-5ESL,,,TRUE,
SAFARI-5GXF,,,TRUE,
SAFARI-5NBQ,,,TRUE,
SAFARI-5PKU,,,TRUE,
SAFARI-5R6A,,,TRUE,
SAFARI-5S82,,,TRUE,
SAFARI-5T54,,,TRUE,
SAFARI-5TKQ,,,TRUE,
SAFARI-5TMZ,,,TRUE,
SAFARI-5XTD,,,TRUE,
SAFARI-64JD,,,TRUE,
SAFARI-67P5,,,TRUE,
SAFARI-69KN,,,TRUE,
SAFARI-6CGZ,,,TRUE,
SAFARI-6ESZ,,,TRUE,
SAFARI-6LP5,,,TRUE,
SAFARI-6NUP,,,TRUE,
SAFARI-6WLC,,,TRUE,
SAFARI-6WWY,,,TRUE,
SAFARI-76UT,,,TRUE,
SAFARI-793S,,,TRUE,
SAFARI-7D7Z,,,TRUE,
SAFARI-7LUS,,,TRUE,
SAFARI-7R7U,,,TRUE,
SAFARI-7RM9,,,TRUE,
SAFARI-7TMW,,,TRUE,
SAFARI-85HE,,,TRUE,
SAFARI-8DQG,,,TRUE,
SAFARI-8DU6,,,TRUE,
SAFARI-8K4X,,,TRUE,
SAFARI-8RCH,,,TRUE,
SAFARI-8RL7,,,TRUE,
SAFARI-8RQ9,,,TRUE,
SAFARI-8S4S,,,TRUE,
SAFARI-8ST7,,,TRUE,
SAFARI-8VD3,,,TRUE,
SAFARI-8XPH,,,TRUE,
SAFARI-8Y5U,,,TRUE,
SAFARI-9437,,,TRUE,
SAFARI-94NP,,,TRUE,
SAFARI-98VG,,,TRUE,
SAFARI-9947,,,TRUE,
SAFARI-99NY,,,TRUE,
SAFARI-99W4,,,TRUE,
SAFARI-9AAJ,,,TRUE,
SAFARI-9D7H,,,TRUE,
SAFARI-9EQF,,,TRUE,
SAFARI-9GTF,,,TRUE,
SAFARI-9HST,,,TRUE,
SAFARI-9RCA,,,TRUE,
SAFARI-9RLJ,,,TRUE,
SAFARI-9SJB,,,TRUE,
SAFARI-9TQG,,,TRUE,
SAFARI-9W8B,,,TRUE,
SAFARI-9X3U,,,TRUE,
SAFARI-A38S,,,TRUE,
SAFARI-A5K5,,,TRUE,
